observation_date,instrument_id,dv01_usd_per_bp,rate_sensitivity_sign,dv01_method
2021-01-04,ERIS-YIT-202106,18.12,-1,eris_settlement_dv01
2021-01-04,ERIS-YIW-202012,49.31,-1,eris_settlement_dv01
2021-01-04,YAHOO-CONTINUOUS-ZF,49.31,-1,cme_fixed_ics_ratio_proxy
2021-01-04,YAHOO-CONTINUOUS-ZT,36.24,-1,cme_fixed_ics_ratio_proxy
2021-01-05,ERIS-YIT-202106,18.18,-1,eris_settlement_dv01
2021-01-05,ERIS-YIW-202012,49.23,-1,eris_settlement_dv01
2021-01-05,YAHOO-CONTINUOUS-ZF,49.23,-1,cme_fixed_ics_ratio_proxy
2021-01-05,YAHOO-CONTINUOUS-ZT,36.36,-1,cme_fixed_ics_ratio_proxy
2021-01-06,ERIS-YIT-202106,19.95,-1,eris_settlement_dv01
2021-01-06,ERIS-YIW-202012,49.14,-1,eris_settlement_dv01
2021-01-06,YAHOO-CONTINUOUS-ZF,49.14,-1,cme_fixed_ics_ratio_proxy
2021-01-06,YAHOO-CONTINUOUS-ZT,39.9,-1,cme_fixed_ics_ratio_proxy
2021-01-07,ERIS-YIT-202106,19.94,-1,eris_settlement_dv01
2021-01-07,ERIS-YIW-202012,49.04,-1,eris_settlement_dv01
2021-01-07,YAHOO-CONTINUOUS-ZF,49.04,-1,cme_fixed_ics_ratio_proxy
2021-01-07,YAHOO-CONTINUOUS-ZT,39.88,-1,cme_fixed_ics_ratio_proxy
2021-01-08,ERIS-YIT-202106,19.57,-1,eris_settlement_dv01
2021-01-08,ERIS-YIW-202012,48.95,-1,eris_settlement_dv01
2021-01-08,YAHOO-CONTINUOUS-ZF,48.95,-1,cme_fixed_ics_ratio_proxy
2021-01-08,YAHOO-CONTINUOUS-ZT,39.14,-1,cme_fixed_ics_ratio_proxy
2021-01-11,ERIS-YIT-202109,20.69,-1,eris_settlement_dv01
2021-01-11,ERIS-YIW-202012,48.81,-1,eris_settlement_dv01
2021-01-11,YAHOO-CONTINUOUS-ZF,48.81,-1,cme_fixed_ics_ratio_proxy
2021-01-11,YAHOO-CONTINUOUS-ZT,41.38,-1,cme_fixed_ics_ratio_proxy
2021-01-12,ERIS-YIT-202109,20.41,-1,eris_settlement_dv01
2021-01-12,ERIS-YIW-202012,48.77,-1,eris_settlement_dv01
2021-01-12,YAHOO-CONTINUOUS-ZF,48.77,-1,cme_fixed_ics_ratio_proxy
2021-01-12,YAHOO-CONTINUOUS-ZT,40.82,-1,cme_fixed_ics_ratio_proxy
2021-01-13,ERIS-YIT-202109,20.25,-1,eris_settlement_dv01
2021-01-13,ERIS-YIW-202012,48.81,-1,eris_settlement_dv01
2021-01-13,YAHOO-CONTINUOUS-ZF,48.81,-1,cme_fixed_ics_ratio_proxy
2021-01-13,YAHOO-CONTINUOUS-ZT,40.5,-1,cme_fixed_ics_ratio_proxy
2021-01-14,ERIS-YIT-202109,20.14,-1,eris_settlement_dv01
2021-01-14,ERIS-YIW-202012,48.75,-1,eris_settlement_dv01
2021-01-14,YAHOO-CONTINUOUS-ZF,48.75,-1,cme_fixed_ics_ratio_proxy
2021-01-14,YAHOO-CONTINUOUS-ZT,40.28,-1,cme_fixed_ics_ratio_proxy
2021-01-15,ERIS-YIT-202109,20.45,-1,eris_settlement_dv01
2021-01-15,ERIS-YIW-202012,48.73,-1,eris_settlement_dv01
