observation_date,instrument_id,dv01_usd_per_bp,rate_sensitivity_sign,dv01_method
2023-01-03,ERIS-YIT-202212,18.4279050043,-1,eris_settlement_dv01
2023-01-03,ERIS-YIW-202212,44.0725030714,-1,eris_settlement_dv01
2023-01-03,YAHOO-CONTINUOUS-ZF,44.0725030714,-1,cme_fixed_ics_ratio_proxy
2023-01-03,YAHOO-CONTINUOUS-ZT,36.8558100086,-1,cme_fixed_ics_ratio_proxy
2023-01-04,ERIS-YIT-202212,18.4094603868,-1,eris_settlement_dv01
2023-01-04,ERIS-YIW-202212,44.2100305775,-1,eris_settlement_dv01
2023-01-04,YAHOO-CONTINUOUS-ZF,44.2100305775,-1,cme_fixed_ics_ratio_proxy
2023-01-04,YAHOO-CONTINUOUS-ZT,36.8189207736,-1,cme_fixed_ics_ratio_proxy
2023-01-05,ERIS-YIT-202212,18.3501964484,-1,eris_settlement_dv01
2023-01-05,ERIS-YIW-202212,44.0937327781,-1,eris_settlement_dv01
2023-01-05,YAHOO-CONTINUOUS-ZF,44.0937327781,-1,cme_fixed_ics_ratio_proxy
2023-01-05,YAHOO-CONTINUOUS-ZT,36.7003928968,-1,cme_fixed_ics_ratio_proxy
2023-01-06,ERIS-YIT-202212,18.4210487476,-1,eris_settlement_dv01
2023-01-06,ERIS-YIW-202212,44.5786150757,-1,eris_settlement_dv01
2023-01-06,YAHOO-CONTINUOUS-ZF,44.5786150757,-1,cme_fixed_ics_ratio_proxy
2023-01-06,YAHOO-CONTINUOUS-ZT,36.8420974952,-1,cme_fixed_ics_ratio_proxy
2023-01-09,ERIS-YIT-202212,18.3791107444,-1,eris_settlement_dv01
2023-01-09,ERIS-YIW-202212,44.6501234432,-1,eris_settlement_dv01
2023-01-09,YAHOO-CONTINUOUS-ZF,44.6501234432,-1,cme_fixed_ics_ratio_proxy
2023-01-09,YAHOO-CONTINUOUS-ZT,36.7582214888,-1,cme_fixed_ics_ratio_proxy
2023-01-10,ERIS-YIT-202212,18.3331768752,-1,eris_settlement_dv01
2023-01-10,ERIS-YIW-202212,44.438739168,-1,eris_settlement_dv01
2023-01-10,YAHOO-CONTINUOUS-ZF,44.438739168,-1,cme_fixed_ics_ratio_proxy
2023-01-10,YAHOO-CONTINUOUS-ZT,36.6663537504,-1,cme_fixed_ics_ratio_proxy
2023-01-11,ERIS-YIT-202212,18.3270504798,-1,eris_settlement_dv01
2023-01-11,ERIS-YIW-202212,44.542779067,-1,eris_settlement_dv01
2023-01-11,YAHOO-CONTINUOUS-ZF,44.542779067,-1,cme_fixed_ics_ratio_proxy
2023-01-11,YAHOO-CONTINUOUS-ZT,36.6541009596,-1,cme_fixed_ics_ratio_proxy
2023-01-12,ERIS-YIT-202212,18.337468956,-1,eris_settlement_dv01
2023-01-12,ERIS-YIW-202212,44.7854413591,-1,eris_settlement_dv01
2023-01-12,YAHOO-CONTINUOUS-ZF,44.7854413591,-1,cme_fixed_ics_ratio_proxy
2023-01-12,YAHOO-CONTINUOUS-ZT,36.674937912,-1,cme_fixed_ics_ratio_proxy
2023-01-13,ERIS-YIT-202212,18.2735055343,-1,eris_settlement_dv01
2023-01-13,ERIS-YIW-202212,44.6033767536,-1,eris_settlement_dv01
2023-01-13,YAHOO-CONTINUOUS-ZF,44.6033767536,-1,cme_fixed_ics_ratio_proxy
2023-01-13,YAHOO-CONTINUOUS-ZT,36.5470110686,-1,cme_fixed_ics_ratio_proxy
2023-01-17,ERIS-YIT-202212,18.2021342901,-1,eris_settlement_dv01
2023-01-17,ERIS-YIW-202212,44.5550237016,-1,eris_settlement_dv01
