observation_date,source,instrument_id,settlement_price,dv01_usd_per_bp
2021-01-04,ERIS,ERIS-YIT-202106,99.8472,
2021-01-04,ERIS,ERIS-YIW-202012,100.0573,
2021-01-04,YAHOO,YAHOO-CONTINUOUS-ZF,126.203125,
2021-01-04,YAHOO,YAHOO-CONTINUOUS-ZT,110.4921875,
2021-01-05,ERIS,ERIS-YIT-202106,99.8455,
2021-01-05,ERIS,ERIS-YIW-202012,99.9648,
2021-01-05,YAHOO,YAHOO-CONTINUOUS-ZF,126.078125,
2021-01-05,YAHOO,YAHOO-CONTINUOUS-ZT,110.4765625,
2021-01-06,ERIS,ERIS-YIT-202106,99.8123,
2021-01-06,ERIS,ERIS-YIW-202012,99.7403,
2021-01-06,YAHOO,YAHOO-CONTINUOUS-ZF,125.7890625,
2021-01-06,YAHOO,YAHOO-CONTINUOUS-ZT,110.42578125,
2021-01-07,ERIS,ERIS-YIT-202106,99.7921,
2021-01-07,ERIS,ERIS-YIW-202012,99.6242,
2021-01-07,YAHOO,YAHOO-CONTINUOUS-ZF,125.7109375,
2021-01-07,YAHOO,YAHOO-CONTINUOUS-ZT,110.4453125,
2021-01-08,ERIS,ERIS-YIT-202106,99.7831,
2021-01-08,ERIS,ERIS-YIW-202012,99.4759,
2021-01-08,YAHOO,YAHOO-CONTINUOUS-ZF,125.59375,
2021-01-08,YAHOO,YAHOO-CONTINUOUS-ZT,110.4453125,
2021-01-11,ERIS,ERIS-YIT-202109,99.731,
2021-01-11,ERIS,ERIS-YIW-202012,99.4001,
2021-01-11,YAHOO,YAHOO-CONTINUOUS-ZF,125.515625,
2021-01-11,YAHOO,YAHOO-CONTINUOUS-ZT,110.43359375,
2021-01-12,ERIS,ERIS-YIT-202109,99.7206,
2021-01-12,ERIS,ERIS-YIW-202012,99.3579,
2021-01-12,YAHOO,YAHOO-CONTINUOUS-ZF,125.484375,
2021-01-12,YAHOO,YAHOO-CONTINUOUS-ZT,110.42578125,
2021-01-13,ERIS,ERIS-YIT-202109,99.7391,
2021-01-13,ERIS,ERIS-YIW-202012,99.5069,
2021-01-13,YAHOO,YAHOO-CONTINUOUS-ZF,125.6171875,
2021-01-13,YAHOO,YAHOO-CONTINUOUS-ZT,110.42578125,
2021-01-14,ERIS,ERIS-YIT-202109,99.7576,
2021-01-14,ERIS,ERIS-YIW-202012,99.4688,
2021-01-14,YAHOO,YAHOO-CONTINUOUS-ZF,125.578125,
2021-01-14,YAHOO,YAHOO-CONTINUOUS-ZT,110.4296875,
2021-01-15,ERIS,ERIS-YIT-202109,99.7777,
2021-01-15,ERIS,ERIS-YIW-202012,99.5891,
2021-01-15,YAHOO,YAHOO-CONTINUOUS-ZF,125.71875,
2021-01-15,YAHOO,YAHOO-CONTINUOUS-ZT,110.44921875,
2021-01-19,ERIS,ERIS-YIT-202109,99.7916,
2021-01-19,ERIS,ERIS-YIW-202012,99.6247,
2021-01-19,YAHOO,YAHOO-CONTINUOUS-ZF,125.765625,
2021-01-19,YAHOO,YAHOO-CONTINUOUS-ZT,110.4609375,
2021-01-20,ERIS,ERIS-YIT-202109,99.7975,
2021-01-20,ERIS,ERIS-YIW-202012,99.6199,
2021-01-20,YAHOO,YAHOO-CONTINUOUS-ZF,125.7734375,
2021-01-20,YAHOO,YAHOO-CONTINUOUS-ZT,110.46484375,
2021-01-21,ERIS,ERIS-YIT-202109,99.8,
2021-01-21,ERIS,ERIS-YIW-202012,99.6126,
2021-01-21,YAHOO,YAHOO-CONTINUOUS-ZF,125.78125,
2021-01-21,YAHOO,YAHOO-CONTINUOUS-ZT,110.4765625,
2021-01-22,ERIS,ERIS-YIT-202109,99.7992,
2021-01-22,ERIS,ERIS-YIW-202012,99.6533,
2021-01-22,YAHOO,YAHOO-CONTINUOUS-ZF,125.84375,
2021-01-22,YAHOO,YAHOO-CONTINUOUS-ZT,110.48046875,
2021-01-25,ERIS,ERIS-YIT-202109,99.8118,
2021-01-25,ERIS,ERIS-YIW-202012,99.7488,
2021-01-25,YAHOO,YAHOO-CONTINUOUS-ZF,125.9609375,
2021-01-25,YAHOO,YAHOO-CONTINUOUS-ZT,110.48046875,
2021-01-26,ERIS,ERIS-YIT-202109,99.8041,
2021-01-26,ERIS,ERIS-YIW-202012,99.7353,
2021-01-26,YAHOO,YAHOO-CONTINUOUS-ZF,125.953125,
2021-01-26,YAHOO,YAHOO-CONTINUOUS-ZT,110.48046875,
2021-01-27,ERIS,ERIS-YIT-202109,99.8092,
2021-01-27,ERIS,ERIS-YIW-202012,99.7943,
2021-01-27,YAHOO,YAHOO-CONTINUOUS-ZF,126.0234375,
2021-01-27,YAHOO,YAHOO-CONTINUOUS-ZT,110.4921875,
2021-01-28,ERIS,ERIS-YIT-202109,99.7871,
2021-01-28,ERIS,ERIS-YIW-202012,99.6761,
2021-01-28,YAHOO,YAHOO-CONTINUOUS-ZF,125.9296875,
2021-01-28,YAHOO,YAHOO-CONTINUOUS-ZT,110.48046875,
2021-01-29,ERIS,ERIS-YIT-202109,99.7907,
2021-01-29,ERIS,ERIS-YIW-202012,99.6161,
2021-01-29,YAHOO,YAHOO-CONTINUOUS-ZF,125.875,
2021-01-29,YAHOO,YAHOO-CONTINUOUS-ZT,110.48828125,
2021-02-01,ERIS,ERIS-YIT-202109,99.8025,
2021-02-01,ERIS,ERIS-YIW-202012,99.6633,
2021-02-01,YAHOO,YAHOO-CONTINUOUS-ZF,125.96875,
2021-02-01,YAHOO,YAHOO-CONTINUOUS-ZT,110.5,
2021-02-02,ERIS,ERIS-YIT-202109,99.7816,
2021-02-02,ERIS,ERIS-YIW-202012,99.5737,
2021-02-02,YAHOO,YAHOO-CONTINUOUS-ZF,125.875,
2021-02-02,YAHOO,YAHOO-CONTINUOUS-ZT,110.48828125,
2021-02-03,ERIS,ERIS-YIT-202109,99.7749,
2021-02-03,ERIS,ERIS-YIW-202012,99.499,
2021-02-03,YAHOO,YAHOO-CONTINUOUS-ZF,125.8046875,
2021-02-03,YAHOO,YAHOO-CONTINUOUS-ZT,110.484375,
2021-02-04,ERIS,ERIS-YIT-202109,99.7669,
2021-02-04,ERIS,ERIS-YIW-202012,99.4989,
2021-02-04,YAHOO,YAHOO-CONTINUOUS-ZF,125.8203125,
2021-02-04,YAHOO,YAHOO-CONTINUOUS-ZT,110.484375,
2021-02-05,ERIS,ERIS-YIT-202109,99.7671,
2021-02-05,ERIS,ERIS-YIW-202012,99.4658,
2021-02-05,YAHOO,YAHOO-CONTINUOUS-ZF,125.796875,
2021-02-05,YAHOO,YAHOO-CONTINUOUS-ZT,110.50390625,
2021-02-08,ERIS,ERIS-YIT-202109,99.755,
2021-02-08,ERIS,ERIS-YIW-202012,99.4067,
2021-02-08,YAHOO,YAHOO-CONTINUOUS-ZF,125.7421875,
2021-02-08,YAHOO,YAHOO-CONTINUOUS-ZT,110.4921875,
2021-02-09,ERIS,ERIS-YIT-202109,99.7561,
2021-02-09,ERIS,ERIS-YIW-202012,99.4467,
2021-02-09,YAHOO,YAHOO-CONTINUOUS-ZF,125.75,
2021-02-09,YAHOO,YAHOO-CONTINUOUS-ZT,110.484375,
2021-02-10,ERIS,ERIS-YIT-202109,99.7724,
2021-02-10,ERIS,ERIS-YIW-202012,99.5197,
2021-02-10,YAHOO,YAHOO-CONTINUOUS-ZF,125.8515625,
2021-02-10,YAHOO,YAHOO-CONTINUOUS-ZT,110.49609375,
2021-02-11,ERIS,ERIS-YIT-202109,99.7666,
2021-02-11,ERIS,ERIS-YIW-202012,99.4921,
2021-02-11,YAHOO,YAHOO-CONTINUOUS-ZF,125.84375,
2021-02-11,YAHOO,YAHOO-CONTINUOUS-ZT,110.5,
2021-02-12,ERIS,ERIS-YIT-202109,99.7521,
2021-02-12,ERIS,ERIS-YIW-202012,99.37,
2021-02-12,YAHOO,YAHOO-CONTINUOUS-ZF,125.7421875,
2021-02-12,YAHOO,YAHOO-CONTINUOUS-ZT,110.5,
2021-02-16,ERIS,ERIS-YIT-202109,99.7115,
2021-02-16,ERIS,ERIS-YIW-202012,99.0211,
2021-02-16,YAHOO,YAHOO-CONTINUOUS-ZF,125.390625,
2021-02-16,YAHOO,YAHOO-CONTINUOUS-ZT,110.4765625,
2021-02-17,ERIS,ERIS-YIT-202109,99.7273,
2021-02-17,ERIS,ERIS-YIW-202012,99.0173,
2021-02-17,YAHOO,YAHOO-CONTINUOUS-ZF,125.40625,
2021-02-17,YAHOO,YAHOO-CONTINUOUS-ZT,110.5,
2021-02-18,ERIS,ERIS-YIT-202109,99.7239,
2021-02-18,ERIS,ERIS-YIW-202012,99.0757,
2021-02-18,YAHOO,YAHOO-CONTINUOUS-ZF,125.4765625,
2021-02-18,YAHOO,YAHOO-CONTINUOUS-ZT,110.50390625,
2021-02-19,ERIS,ERIS-YIT-202109,99.7108,
