observation_date,source,series_id,maturity,rate_bps
2019-01-02,NYFED,EFFR,ON,240
2019-01-02,NYFED,SOFR,ON,315
2019-01-02,UST,DGS2,2Y,250
2019-01-02,UST,DGS5,5Y,249
2019-01-03,NYFED,EFFR,ON,240
2019-01-03,NYFED,SOFR,ON,270
2019-01-03,UST,DGS2,2Y,239
2019-01-03,UST,DGS5,5Y,237
2019-01-04,NYFED,EFFR,ON,240
2019-01-04,NYFED,SOFR,ON,245
2019-01-04,UST,DGS2,2Y,250
2019-01-04,UST,DGS5,5Y,249
2019-01-07,NYFED,EFFR,ON,240
2019-01-07,NYFED,SOFR,ON,241
2019-01-07,UST,DGS2,2Y,253
2019-01-07,UST,DGS5,5Y,253
2019-01-08,NYFED,EFFR,ON,240
2019-01-08,NYFED,SOFR,ON,242
2019-01-08,UST,DGS2,2Y,258
2019-01-08,UST,DGS5,5Y,258
2019-01-09,NYFED,EFFR,ON,240
2019-01-09,NYFED,SOFR,ON,245
2019-01-09,UST,DGS2,2Y,256
2019-01-09,UST,DGS5,5Y,257
2019-01-10,NYFED,EFFR,ON,240
2019-01-10,NYFED,SOFR,ON,243
2019-01-10,UST,DGS2,2Y,256
2019-01-10,UST,DGS5,5Y,256
2019-01-11,NYFED,EFFR,ON,240
2019-01-11,NYFED,SOFR,ON,241
2019-01-11,UST,DGS2,2Y,255
2019-01-11,UST,DGS5,5Y,252
2019-01-14,NYFED,EFFR,ON,240
2019-01-14,NYFED,SOFR,ON,240
2019-01-14,UST,DGS2,2Y,253
2019-01-14,UST,DGS5,5Y,253
2019-01-15,NYFED,EFFR,ON,240
2019-01-15,NYFED,SOFR,ON,246
2019-01-15,UST,DGS2,2Y,253
2019-01-15,UST,DGS5,5Y,253
2019-01-16,NYFED,EFFR,ON,240
2019-01-16,NYFED,SOFR,ON,243
2019-01-16,UST,DGS2,2Y,255
2019-01-16,UST,DGS5,5Y,254
2019-01-17,NYFED,EFFR,ON,240
2019-01-17,NYFED,SOFR,ON,241
2019-01-17,UST,DGS2,2Y,256
2019-01-17,UST,DGS5,5Y,258
2019-01-18,NYFED,EFFR,ON,240
2019-01-18,NYFED,SOFR,ON,242
2019-01-18,UST,DGS2,2Y,262
2019-01-18,UST,DGS5,5Y,262
2019-01-22,NYFED,EFFR,ON,240
2019-01-22,NYFED,SOFR,ON,241
2019-01-22,UST,DGS2,2Y,258
2019-01-22,UST,DGS5,5Y,257
2019-01-23,NYFED,EFFR,ON,240
2019-01-23,NYFED,SOFR,ON,240
2019-01-23,UST,DGS2,2Y,258
2019-01-23,UST,DGS5,5Y,259
2019-01-24,NYFED,EFFR,ON,240
