observation_date,source,instrument_id,settlement_price,dv01_usd_per_bp
2022-01-03,ERIS,ERIS-YIT-202112,99.0217,
2022-01-03,ERIS,ERIS-YIW-202106,96.0644,
2022-01-03,YAHOO,YAHOO-CONTINUOUS-ZF,120.4375,
2022-01-03,YAHOO,YAHOO-CONTINUOUS-ZT,108.9765625,
2022-01-04,ERIS,ERIS-YIT-202112,99.0621,
2022-01-04,ERIS,ERIS-YIW-202106,96.0476,
2022-01-04,YAHOO,YAHOO-CONTINUOUS-ZF,120.4296875,
2022-01-04,YAHOO,YAHOO-CONTINUOUS-ZT,109.01953125,
2022-01-05,ERIS,ERIS-YIT-202112,98.9425,
2022-01-05,ERIS,ERIS-YIW-202106,95.8102,
2022-01-05,YAHOO,YAHOO-CONTINUOUS-ZF,120.1171875,
2022-01-05,YAHOO,YAHOO-CONTINUOUS-ZT,108.88671875,
2022-01-06,ERIS,ERIS-YIT-202112,98.8686,
2022-01-06,ERIS,ERIS-YIW-202106,95.6125,
2022-01-06,YAHOO,YAHOO-CONTINUOUS-ZF,119.8671875,
2022-01-06,YAHOO,YAHOO-CONTINUOUS-ZT,108.7734375,
2022-01-07,ERIS,ERIS-YIT-202112,98.8871,
2022-01-07,ERIS,ERIS-YIW-202106,95.5038,
2022-01-07,YAHOO,YAHOO-CONTINUOUS-ZF,119.734375,
2022-01-07,YAHOO,YAHOO-CONTINUOUS-ZT,108.8046875,
2022-01-10,ERIS,ERIS-YIT-202112,98.8182,
2022-01-10,ERIS,ERIS-YIW-202106,95.3289,
2022-01-10,YAHOO,YAHOO-CONTINUOUS-ZF,119.5625,
2022-01-10,YAHOO,YAHOO-CONTINUOUS-ZT,108.734375,
2022-01-11,ERIS,ERIS-YIT-202112,98.8467,
2022-01-11,ERIS,ERIS-YIW-202106,95.4998,
2022-01-11,YAHOO,YAHOO-CONTINUOUS-ZF,119.703125,
2022-01-11,YAHOO,YAHOO-CONTINUOUS-ZT,108.75,
2022-01-12,ERIS,ERIS-YIT-202112,98.836,
2022-01-12,ERIS,ERIS-YIW-202106,95.5799,
2022-01-12,YAHOO,YAHOO-CONTINUOUS-ZF,119.7734375,
2022-01-12,YAHOO,YAHOO-CONTINUOUS-ZT,108.7421875,
2022-01-13,ERIS,ERIS-YIT-202112,98.8449,
2022-01-13,ERIS,ERIS-YIW-202106,95.6586,
2022-01-13,YAHOO,YAHOO-CONTINUOUS-ZF,119.8515625,
2022-01-13,YAHOO,YAHOO-CONTINUOUS-ZT,108.76171875,
2022-01-14,ERIS,ERIS-YIT-202112,98.7259,
2022-01-14,ERIS,ERIS-YIW-202106,95.3116,
2022-01-14,YAHOO,YAHOO-CONTINUOUS-ZF,119.515625,
2022-01-14,YAHOO,YAHOO-CONTINUOUS-ZT,108.625,
2022-01-18,ERIS,ERIS-YIT-202112,98.5927,
2022-01-18,ERIS,ERIS-YIW-202106,94.9213,
2022-01-18,YAHOO,YAHOO-CONTINUOUS-ZF,119.015625,
2022-01-18,YAHOO,YAHOO-CONTINUOUS-ZT,108.484375,
2022-01-19,ERIS,ERIS-YIT-202112,98.6387,
2022-01-19,ERIS,ERIS-YIW-202106,95.0869,
2022-01-19,YAHOO,YAHOO-CONTINUOUS-ZF,119.203125,
2022-01-19,YAHOO,YAHOO-CONTINUOUS-ZT,108.52734375,
2022-01-20,ERIS,ERIS-YIT-202112,98.5847,
2022-01-20,ERIS,ERIS-YIW-202106,95.0438,
2022-01-20,YAHOO,YAHOO-CONTINUOUS-ZF,119.1796875,
2022-01-20,YAHOO,YAHOO-CONTINUOUS-ZT,108.4765625,
2022-01-21,ERIS,ERIS-YIT-202112,98.6966,
2022-01-21,ERIS,ERIS-YIW-202106,95.3361,
2022-01-21,YAHOO,YAHOO-CONTINUOUS-ZF,119.5625,
2022-01-21,YAHOO,YAHOO-CONTINUOUS-ZT,108.60546875,
2022-01-24,ERIS,ERIS-YIT-202112,98.793,
2022-01-24,ERIS,ERIS-YIW-202106,95.556,
2022-01-24,YAHOO,YAHOO-CONTINUOUS-ZF,119.7421875,
2022-01-24,YAHOO,YAHOO-CONTINUOUS-ZT,108.6953125,
2022-01-25,ERIS,ERIS-YIT-202112,98.7143,
2022-01-25,ERIS,ERIS-YIW-202106,95.3272,
2022-01-25,YAHOO,YAHOO-CONTINUOUS-ZF,119.4921875,
2022-01-25,YAHOO,YAHOO-CONTINUOUS-ZT,108.61328125,
2022-01-26,ERIS,ERIS-YIT-202112,98.5904,
2022-01-26,ERIS,ERIS-YIW-202106,95.0151,
2022-01-26,YAHOO,YAHOO-CONTINUOUS-ZF,119.1015625,
2022-01-26,YAHOO,YAHOO-CONTINUOUS-ZT,108.484375,
2022-01-27,ERIS,ERIS-YIT-202112,98.4013,
2022-01-27,ERIS,ERIS-YIW-202112,97.7323,
2022-01-27,YAHOO,YAHOO-CONTINUOUS-ZF,118.9609375,
2022-01-27,YAHOO,YAHOO-CONTINUOUS-ZT,108.27734375,
2022-01-28,ERIS,ERIS-YIT-202112,98.4198,
2022-01-28,ERIS,ERIS-YIW-202112,97.8999,
2022-01-28,YAHOO,YAHOO-CONTINUOUS-ZF,119.1640625,
2022-01-28,YAHOO,YAHOO-CONTINUOUS-ZT,108.31640625,
2022-01-31,ERIS,ERIS-YIT-202112,98.423,
2022-01-31,ERIS,ERIS-YIW-202112,97.92,
2022-01-31,YAHOO,YAHOO-CONTINUOUS-ZF,119.203125,
2022-01-31,YAHOO,YAHOO-CONTINUOUS-ZT,108.328125,
2022-02-01,ERIS,ERIS-YIT-202112,98.4363,
2022-02-01,ERIS,ERIS-YIW-202112,97.9359,
2022-02-01,YAHOO,YAHOO-CONTINUOUS-ZF,119.15625,
2022-02-01,YAHOO,YAHOO-CONTINUOUS-ZT,108.328125,
2022-02-02,ERIS,ERIS-YIT-202112,98.4488,
2022-02-02,ERIS,ERIS-YIW-202112,98.0247,
2022-02-02,YAHOO,YAHOO-CONTINUOUS-ZF,119.2890625,
2022-02-02,YAHOO,YAHOO-CONTINUOUS-ZT,108.3515625,
2022-02-03,ERIS,ERIS-YIT-202112,98.3863,
2022-02-03,ERIS,ERIS-YIW-202112,97.764,
2022-02-03,YAHOO,YAHOO-CONTINUOUS-ZF,118.984375,
2022-02-03,YAHOO,YAHOO-CONTINUOUS-ZT,108.2890625,
2022-02-04,ERIS,ERIS-YIT-202112,98.1579,
2022-02-04,ERIS,ERIS-YIW-202112,97.1818,
2022-02-04,YAHOO,YAHOO-CONTINUOUS-ZF,118.34375,
2022-02-04,YAHOO,YAHOO-CONTINUOUS-ZT,108.03515625,
2022-02-07,ERIS,ERIS-YIT-202112,98.2061,
2022-02-07,ERIS,ERIS-YIW-202112,97.2709,
2022-02-07,YAHOO,YAHOO-CONTINUOUS-ZF,118.453125,
2022-02-07,YAHOO,YAHOO-CONTINUOUS-ZT,108.08984375,
2022-02-08,ERIS,ERIS-YIT-202112,98.1408,
2022-02-08,ERIS,ERIS-YIW-202112,97.0702,
2022-02-08,YAHOO,YAHOO-CONTINUOUS-ZF,118.2421875,
2022-02-08,YAHOO,YAHOO-CONTINUOUS-ZT,108.01171875,
2022-02-09,ERIS,ERIS-YIT-202112,98.1384,
2022-02-09,ERIS,ERIS-YIW-202112,97.1153,
2022-02-09,YAHOO,YAHOO-CONTINUOUS-ZF,118.2578125,
2022-02-09,YAHOO,YAHOO-CONTINUOUS-ZT,108.0078125,
2022-02-10,ERIS,ERIS-YIT-202112,97.7368,
2022-02-10,ERIS,ERIS-YIW-202112,96.4428,
2022-02-10,YAHOO,YAHOO-CONTINUOUS-ZF,117.515625,
2022-02-10,YAHOO,YAHOO-CONTINUOUS-ZT,107.58984375,
2022-02-11,ERIS,ERIS-YIT-202112,97.8372,
2022-02-11,ERIS,ERIS-YIW-202112,96.8948,
2022-02-11,YAHOO,YAHOO-CONTINUOUS-ZF,117.875,
2022-02-11,YAHOO,YAHOO-CONTINUOUS-ZT,107.6875,
2022-02-14,ERIS,ERIS-YIT-202112,97.7098,
2022-02-14,ERIS,ERIS-YIW-202112,96.5862,
2022-02-14,YAHOO,YAHOO-CONTINUOUS-ZF,117.5546875,
2022-02-14,YAHOO,YAHOO-CONTINUOUS-ZT,107.53125,
2022-02-15,ERIS,ERIS-YIT-202112,97.7694,
2022-02-15,ERIS,ERIS-YIW-202112,96.542,
2022-02-15,YAHOO,YAHOO-CONTINUOUS-ZF,117.4921875,
2022-02-15,YAHOO,YAHOO-CONTINUOUS-ZT,107.5703125,
2022-02-16,ERIS,ERIS-YIT-202112,97.8501,
2022-02-16,ERIS,ERIS-YIW-202112,96.6454,
2022-02-16,YAHOO,YAHOO-CONTINUOUS-ZF,117.609375,
2022-02-16,YAHOO,YAHOO-CONTINUOUS-ZT,107.65625,
2022-02-17,ERIS,ERIS-YIT-202112,97.9403,
2022-02-17,ERIS,ERIS-YIW-202112,96.9753,
2022-02-17,YAHOO,YAHOO-CONTINUOUS-ZF,117.953125,
2022-02-17,YAHOO,YAHOO-CONTINUOUS-ZT,107.7421875,
2022-02-18,ERIS,ERIS-YIT-202112,97.9897,
2022-02-18,ERIS,ERIS-YIW-202112,97.1249,
2022-02-18,YAHOO,YAHOO-CONTINUOUS-ZF,118.09375,
2022-02-18,YAHOO,YAHOO-CONTINUOUS-ZT,107.78125,
2022-02-22,ERIS,ERIS-YIT-202112,97.8224,
2022-02-22,ERIS,ERIS-YIW-202112,96.9179,
2022-02-22,YAHOO,YAHOO-CONTINUOUS-ZF,117.8671875,
2022-02-22,YAHOO,YAHOO-CONTINUOUS-ZT,107.62109375,
2022-02-23,ERIS,ERIS-YIT-202112,97.7895,
2022-02-23,ERIS,ERIS-YIW-202112,96.7611,
2022-02-23,YAHOO,YAHOO-CONTINUOUS-ZF,117.765625,
2022-02-23,YAHOO,YAHOO-CONTINUOUS-ZT,107.59375,
2022-02-24,ERIS,ERIS-YIT-202112,97.904,
