observation_date,source,series_id,maturity,rate_bps
2021-01-04,NYFED,EFFR,ON,9
2021-01-04,NYFED,SOFR,ON,10
2021-01-04,UST,DGS2,2Y,11
2021-01-04,UST,DGS5,5Y,36
2021-01-05,NYFED,EFFR,ON,9
2021-01-05,NYFED,SOFR,ON,11
2021-01-05,UST,DGS2,2Y,13
2021-01-05,UST,DGS5,5Y,38
2021-01-06,NYFED,EFFR,ON,9
2021-01-06,NYFED,SOFR,ON,10
2021-01-06,UST,DGS2,2Y,14
2021-01-06,UST,DGS5,5Y,43
2021-01-07,NYFED,EFFR,ON,9
2021-01-07,NYFED,SOFR,ON,10
2021-01-07,UST,DGS2,2Y,14
2021-01-07,UST,DGS5,5Y,46
2021-01-08,NYFED,EFFR,ON,9
2021-01-08,NYFED,SOFR,ON,9
2021-01-08,UST,DGS2,2Y,14
2021-01-08,UST,DGS5,5Y,49
2021-01-11,NYFED,EFFR,ON,9
2021-01-11,NYFED,SOFR,ON,9
2021-01-11,UST,DGS2,2Y,14
2021-01-11,UST,DGS5,5Y,50
2021-01-12,NYFED,EFFR,ON,9
2021-01-12,NYFED,SOFR,ON,8
2021-01-12,UST,DGS2,2Y,14
2021-01-12,UST,DGS5,5Y,50
2021-01-13,NYFED,EFFR,ON,9
2021-01-13,NYFED,SOFR,ON,8
2021-01-13,UST,DGS2,2Y,14
2021-01-13,UST,DGS5,5Y,48
2021-01-14,NYFED,EFFR,ON,9
2021-01-14,NYFED,SOFR,ON,8
2021-01-14,UST,DGS2,2Y,16
2021-01-14,UST,DGS5,5Y,49
2021-01-15,NYFED,EFFR,ON,9
2021-01-15,NYFED,SOFR,ON,8
2021-01-15,UST,DGS2,2Y,13
2021-01-15,UST,DGS5,5Y,46
2021-01-19,NYFED,EFFR,ON,9
2021-01-19,NYFED,SOFR,ON,7
2021-01-19,UST,DGS2,2Y,14
2021-01-19,UST,DGS5,5Y,45
2021-01-20,NYFED,EFFR,ON,9
2021-01-20,NYFED,SOFR,ON,6
2021-01-20,UST,DGS2,2Y,13
2021-01-20,UST,DGS5,5Y,45
2021-01-21,NYFED,EFFR,ON,8
2021-01-21,NYFED,SOFR,ON,4
2021-01-21,UST,DGS2,2Y,13
2021-01-21,UST,DGS5,5Y,45
2021-01-22,NYFED,EFFR,ON,8
2021-01-22,NYFED,SOFR,ON,5
2021-01-22,UST,DGS2,2Y,13
2021-01-22,UST,DGS5,5Y,44
2021-01-25,NYFED,EFFR,ON,8
2021-01-25,NYFED,SOFR,ON,6
